name,artist,id,acousticness,energy,tempo,valence,類似度
グッド・ウェディング,SHE'S,4lDHB4OoODARO2mYEnaBa2,0.00222,0.754,183.852,0.635,0.9999999922886941
Clock,SHE'S,38gKKYEjFQm2RgUz6dMmam,0.0841,0.497,99.968,0.44,0.9999999836146428
アカツキ,MAN WITH A MISSION,6bPWmy6pEoI1IOClMVv5E6,0.00123,0.816,180.027,0.587,0.9999999189600197
ハイエナ,MY FIRST STORY,4OrME1BlRzdB1adWiajfMJ,0.128,0.927,170.082,0.712,0.9999998945922725
PANORAMA RADIO,MAN WITH A MISSION,1R6oibYRktuTNIRDK5wy3B,0.0518,0.649,135.025,0.465,0.9999998869748815
NEVER FXXKIN' MIND THE RULES,MAN WITH A MISSION,0QutJSQCKW9IsmckUfV7pd,0.000207,0.901,187.382,0.711,0.9999998766204284
Come Back,SHE'S,3iy4KICxa8aET2TonmvjIH,0.0101,0.749,199.741,0.546,0.9999998086852211
LOST AND FOUND,ONE OK ROCK,4E0lHSPfXL679DtfbsqD8Q,8.8e-05,0.971,194.409,0.729,0.9999997902026673
Time To Dive,SHE'S,18MqcWMmVnJVY4O9nIQ3z1,0.00229,0.864,185.251,0.558,0.9999997500374807
Unforgive,SHE'S,5dAGFzxmNsAFgZ8Kfh1TJk,0.0861,0.705,137.978,0.474,0.9999997245275389
Dreaming of you,MY FIRST STORY,61AYCZrkESwuQKUULP0fgF,0.164,0.716,119.924,0.689,0.9999996845985374
燦さん星,ONE OK ROCK,7eDh9zj5iLxEUD0G6LAGrE,0.00245,0.837,161.114,0.636,0.9999996815380828
モンスターエフェクト,THE ORAL CIGARETTES,11savDhupHCX7Q49YwdDwr,7.93e-05,0.966,185.987,0.743,0.9999996698290026
Feel and Think,MAN WITH A MISSION,00qrpM7ThTmEtMvmA3cTto,6.88e-05,0.955,189.83,0.819,0.9999996671808677
Melody Lineの死亡率,ONE OK ROCK,5wnZgVBvsGfQNnzYmOnppX,7.59e-05,0.927,179.964,0.649,0.9999996648757706
Don't Let Me Down,SHE'S,2nACU7gGa2g7p3ywfXPbfh,0.0215,0.791,191.956,0.493,0.9999996530442836
BLACK MEMORY feat.Hiro (MY FIRST STORY),THE ORAL CIGARETTES,6EwnUlPlXN7ZtcrN3LQ9X8,0.00017,0.919,182.083,0.608,0.99999965200511
The World's On Fire,MAN WITH A MISSION,10Fe7kGOmsuxwsZTte5tIQ,0.000559,0.653,124.993,0.472,0.9999996448955253
WELCOME TO THE NEWWORLD,MAN WITH A MISSION,7A2mrQZSAZkj74aJhLIQzI,0.000549,0.951,186.212,0.631,0.999999626316504
BUG,THE ORAL CIGARETTES,3ll3777Lzzs15BdKwzbgIU,0.000175,0.963,182.057,0.709,0.9999996048980336
mist...,THE ORAL CIGARETTES,3Mla3gpkPL05xFqkaQHAp2,0.000476,0.963,188.13,0.83,0.9999995930884377
光芒,ONE OK ROCK,5xUW3CurYaC7hrFSGOTlsQ,0.00189,0.889,165.982,0.638,0.9999995543215933
Your Song,SHE'S,1SzcvfODczy3qyZMHmjCab,0.00281,0.811,183.634,0.466,0.9999995461860435
STELLA,MAN WITH A MISSION,6ruNIFO5oCsCDZool04O1q,0.000461,0.984,197.838,0.6,0.9999995388756313
So Far Gone,ONE OK ROCK,1KGDfQnjkz98Ht1fG6MayU,0.00318,0.705,166.036,0.402,0.9999995283924961
Spell On Me,SHE'S,06ec3X4YyVx4s1SgBUEvyY,0.0612,0.641,159.991,0.416,0.9999995152461784
Perfect Clarity,MAN WITH A MISSION,4HyapM9mAiMy79SSPmLHMX,0.00866,0.729,136.612,0.482,0.9999995125120275
出会い街,THE ORAL CIGARETTES,1iqxs1FVeYRSG6mIRmlDho,0.000482,0.937,192.097,0.547,0.9999994821523667
Yap,ONE OK ROCK,1L44VToyydPDEceKgOHdEo,0.00568,0.906,186.075,0.875,0.9999994722329822
colours,MAN WITH A MISSION,4McGddoL2Bc0KWZAWWKLz6,0.107,0.55,96.084,0.355,0.9999994615633645
Memories,ONE OK ROCK,6kSGjfp9PbQdlnTzDoD45K,0.000419,0.904,175.042,0.556,0.9999994609369685
どっぺるゲンガー,ONE OK ROCK,28cqNmgLomAIx8CgKKwMzv,0.00329,0.933,170.06,0.669,0.9999994582267818
Start Again,ONE OK ROCK,71MTBfRQTn7AxOPVtAB8gB,0.000592,0.893,173.933,0.544,0.999999458199846
ハルジオン,MY FIRST STORY,71I3KFTKzYz1qi3SBctusp,0.0146,0.913,172.859,0.559,0.999999409652256
ニュートラルコーナー,MAN WITH A MISSION,4xCJTNcpumsorskKK0HrHL,0.00124,0.892,175.843,0.523,0.9999994061403272
20/20,ONE OK ROCK,1hXdrsESoSGG5fH37BrNqE,0.00162,0.913,164.941,0.701,0.9999994031657456
Imperfect,SHE'S,5uP68C8kubfH1Elyo930dW,0.00542,0.766,168.013,0.796,0.9999993974516611
Good Goodbye,ONE OK ROCK,3Od9KboHdqw7eJiR1jCwz7,0.0259,0.56,101.955,0.35,0.9999993870264283
Sink Like a Stone,SWANKY DANK,5HMXCirRFXQ2pVHHzkK32d,1.07e-05,0.952,195.715,0.528,0.999999363162651
Outta Sight,ONE OK ROCK,5WqJTNhzupAvCDFt8jJ834,0.0821,0.848,170.121,0.489,0.999999354060958
database,MAN WITH A MISSION,5cIGOvYS3YmKvVsiaCHmJK,7.38e-05,0.969,177.007,0.807,0.9999993444031652
プルースト,SHE'S,2zX4TzEttOyAbuZ71XDmK8,0.00759,0.62,157.931,0.335,0.9999993392676502
ONION!,ONE OK ROCK,553AKE3iN46rGvdi8ANiNv,1.81e-05,0.972,177.018,0.632,0.9999993388522883
WHITE WORLD,MAN WITH A MISSION,3au7qHWC5GIBOLZQQyza5V,0.106,0.734,180.05,0.468,0.9999993342286922
Rock Kingdom,MAN WITH A MISSION,7fmTmtGeXmaT5GUJOPXSmK,0.000318,0.886,164.001,0.551,0.9999993285844413
月は美しく - Album ver.,SHE'S,0fl76cTFELqmS3aoFcySJm,0.00106,0.635,119.991,0.572,0.9999993219561898
二十億光年の恋,MY FIRST STORY,62wjXTsTFCNL0Fe2XJ1GtQ,0.136,0.637,169.785,0.511,0.9999993187469004
TRIUMPH OF THE DAY,MAN WITH A MISSION,7mVsQRR27CMObKAtqBfJa2,8.54e-05,0.894,179.313,0.495,0.999999306572019
Worst in Me,ONE OK ROCK,7ppyNgkO7nWPP9ii5SeYz0,0.174,0.855,155.423,0.526,0.9999993006589357
聖夜,THE ORAL CIGARETTES,0HVDzC8RI37Lh3yoJfH2kQ,0.032,0.408,84.099,0.227,0.9999992980893565
Remember Me,SHE'S,3DXcYqdkWRCPdtwMEiMZXl,0.0267,0.467,147.914,0.335,0.9999992586163762
